applicant_name,age,gender,marital_status,dependents,education,employment_type,years_of_employment,monthly_income,bank_balance,existing_emi,existing_loan_amount,debt_to_income_ratio,credit_score,credit_history,previous_defaults,loan_amount_requested,loan_tenure,loan_purpose,collateral_value,property_area,loan_status
Karan Pandey,25,Female,Married,2,Not Graduate,Salaried,1.8,57283.15,421967.51,50383.88,2151027.2,87.96,567,0,1,759673.21,360,Vehicle,1308542.5,Rural,N
Kabir Tiwari,45,Male,Married,2,Not Graduate,Self-Employed,26.6,42510.09,169690.48,6085.25,78254.75,14.31,743,1,0,3104581.24,24,Business,3366086.81,Semiurban,Y
Rohan Sharma,60,Female,Single,0,Graduate,Salaried,1.7,62757.66,105639.82,22270.38,637236.86,35.49,605,0,1,3178164.96,360,Home,5179184.35,Semiurban,N
Riya Patel,23,Female,Married,1,Graduate,Business Owner,4.3,189220.33,1068425.1,87795.04,3000000.0,46.4,640,1,0,3228504.93,24,Vehicle,4395355.22,Semiurban,Y
Neha Singh,59,Male,Single,1,Graduate,Salaried,1.6,90182.8,343861.94,29638.22,1432805.36,32.86,548,1,0,468335.21,60,Education,3065.07,Urban,Y
Kabir Saxena,58,Male,Single,1,Not Graduate,Salaried,20.4,57918.57,326122.42,22336.76,979226.34,38.57,579,0,3,256109.17,180,Education,2915.78,Semiurban,Y
Neha Agarwal,33,Male,Married,1,Graduate,Self-Employed,8.5,173406.06,94060.6,18976.69,771258.69,10.94,690,1,0,10000000.0,180,Business,994.92,Urban,Y
Aryan Chopra,49,Female,Married,0,Graduate,Salaried,0.5,70559.92,370389.2,6457.7,326942.38,9.15,656,1,0,425290.88,36,Vehicle,362423.23,Rural,Y
Karan Agarwal,28,Female,Married,0,Graduate,Salaried,0.3,68494.56,412951.12,19834.66,381658.18,28.96,647,0,1,830654.9,300,Personal,3298.13,Urban,N
Sanjay Agarwal,55,Male,Married,0,Not Graduate,Salaried,16.9,41309.01,138589.67,12851.79,191146.9,31.11,543,1,1,743653.55,180,Other,3475.11,Rural,Y
Divya Joshi,52,Female,Married,3+,Graduate,Business Owner,12.2,49076.2,245384.61,23432.7,493597.54,47.75,633,0,0,761323.54,180,Personal,1358933.52,Rural,N
Shreya Saxena,36,Male,Single,0,Graduate,Salaried,16.9,97676.11,297812.95,41747.05,491314.71,42.74,685,0,0,6641028.91,24,Business,7014362.88,Rural,Y
Ayaan Desai,24,Female,Single,1,Graduate,Self-Employed,4.3,93173.57,572389.43,21259.91,897385.78,22.82,743,1,0,1465860.85,120,Education,4561.83,Semiurban,Y
Anika Mishra,64,Female,Married,0,Graduate,Self-Employed,8.0,34035.02,83180.25,8603.26,301602.93,25.28,589,1,1,661355.28,240,Personal,4572.01,Rural,N
Riya Malhotra,41,Female,Married,3+,Graduate,Salaried,6.5,137766.9,526995.91,50048.7,597108.12,36.33,536,0,3,555111.64,120,Medical,3514.38,Rural,N
Dhruv Mehta,61,Male,Married,2,Not Graduate,Salaried,28.4,193728.96,938239.32,102722.82,3000000.0,53.02,800,1,0,10000000.0,120,Business,12125104.21,Semiurban,Y
Rajesh Chopra,51,Male,Single,0,Graduate,Self-Employed,32.5,38715.96,161565.32,8812.79,487917.12,22.76,674,1,0,4049260.45,36,Home,275.56,Urban,N
Sunita Tiwari,56,Male,Single,1,Not Graduate,Self-Employed,15.6,80213.19,412953.55,10454.48,403741.96,13.03,567,1,4,786846.78,180,Medical,1340656.38,Urban,Y
Kavita Sharma,55,Male,Single,0,Not Graduate,Self-Employed,8.2,45459.75,111750.89,16671.29,300033.09,36.67,574,0,1,567541.85,300,Vehicle,901137.85,Semiurban,N
Myra Reddy,29,Male,Married,3+,Graduate,Self-Employed,7.2,26439.12,19035.88,4667.12,156114.32,17.65,592,0,0,228870.0,12,Vehicle,1631.99,Urban,N
Meera Sharma,37,Female,Single,1,Graduate,Unemployed,0.0,10000.0,67137.23,3710.5,165552.21,37.1,638,1,0,165677.86,240,Vehicle,211293.35,Urban,N
Pooja Mehta,42,Male,Single,0,Graduate,Business Owner,16.0,43948.81,141254.78,14422.94,538278.62,32.82,710,1,0,236895.65,180,Education,213.05,Urban,Y
Aadhya Bansal,43,Male,Married,0,Graduate,Salaried,0.4,81296.97,619364.93,37058.54,1050399.41,45.58,771,1,1,4446658.5,24,Business,6013341.36,Urban,Y
Ayaan Nair,22,Female,Single,1,Not Graduate,Salaried,3.8,155185.17,1161162.73,7057.02,96094.32,4.55,542,0,4,2740758.53,300,Education,2528151.24,Rural,Y
Geeta Pandey,45,Male,Married,1,Graduate,Salaried,1.0,165271.5,225166.18,47233.08,1552791.84,28.58,653,1,1,8182529.43,60,Home,192.56,Urban,Y
Rohan Mehta,27,Male,Single,0,Graduate,Salaried,4.0,80464.82,127573.62,24417.17,1451647.53,30.35,681,1,1,437088.2,120,Education,720.26,Urban,Y
Myra Bansal,54,Female,Married,1,Graduate,Salaried,20.6,66482.04,208601.83,9396.65,317820.28,14.13,603,0,0,3061178.2,60,Business,3542.87,Urban,Y
Anika Khanna,51,Male,Single,0,Not Graduate,Retired,20.6,15736.13,101956.74,3353.38,53131.11,21.31,573,1,0,188941.74,300,Education,4710.08,Urban,N
Arjun Mehta,62,Male,Married,3+,Graduate,Unemployed,0.0,10000.0,41855.14,893.46,13065.36,8.93,749,1,0,157923.18,60,Vehicle,19.36,Rural,Y
Manish Nair,54,Male,Single,0,Not Graduate,Salaried,21.6,109880.66,868696.81,53949.62,2312683.73,49.1,650,1,2,1613738.55,360,Personal,4436.63,Semiurban,Y
Meera Saxena,37,Male,Married,1,Graduate,Salaried,3.7,75865.4,92744.73,19137.5,218795.33,25.23,429,0,4,1870652.4,120,Business,2933615.13,Urban,N
Sunita Nair,64,Male,Married,0,Graduate,Unemployed,0.0,10000.0,60027.66,4918.42,197303.62,49.18,607,0,4,99856.35,240,Vehicle,86202.22,Rural,N
Kabir Mehta,39,Male,Married,0,Graduate,Business Owner,13.5,108089.91,687164.43,53139.15,624827.8,49.16,478,0,0,562874.31,60,Personal,3343.55,Urban,N
Kiara Patel,35,Male,Married,0,Not Graduate,Business Owner,0.6,39872.23,288114.27,2152.33,117322.9,5.4,760,1,0,969874.3,240,Other,1718771.34,Semiurban,Y
Sunita Khanna,61,Female,Married,2,Not Graduate,Self-Employed,7.9,124704.8,333490.46,34062.05,572786.83,27.31,656,1,1,7341594.83,120,Home,6611980.75,Rural,Y
Ishaan Agarwal,37,Male,Married,2,Graduate,Self-Employed,2.4,56484.74,450681.99,6680.83,370849.25,11.83,536,1,0,3087905.81,120,Home,5421587.02,Urban,Y
Yash Kumar,24,Male,Married,1,Graduate,Salaried,0.6,175787.7,235059.62,41184.67,1657683.39,23.43,846,1,0,5493444.74,24,Business,9318694.88,Rural,Y
Lakshmi Khanna,42,Male,Single,0,Graduate,Business Owner,21.7,40955.79,66314.73,18912.62,395093.53,46.18,582,1,0,602455.03,24,Medical,640821.37,Semiurban,Y
Pooja Patel,56,Female,Married,3+,Not Graduate,Business Owner,25.5,97869.42,595806.55,37383.17,844905.97,38.2,560,0,0,2207580.64,480,Vehicle,1726.91,Semiurban,N
Dhruv Singh,29,Male,Married,1,Graduate,Business Owner,1.4,91582.07,458066.98,53940.15,1302205.33,58.9,676,0,0,1771847.98,180,Education,2948.3,Urban,N
Aryan Verma,41,Female,Married,0,Graduate,Business Owner,21.6,83191.99,435348.95,22471.97,652154.23,27.01,755,1,0,817207.32,240,Medical,3880.01,Rural,Y
Vikram Kumar,26,Male,Single,1,Graduate,Salaried,4.1,66461.66,85726.86,26478.55,1056011.25,39.84,591,1,0,7355440.11,60,Home,8723883.85,Urban,N
Lakshmi Agarwal,51,Female,Married,0,Not Graduate,Salaried,23.3,77120.61,163677.56,16596.2,476232.06,21.52,667,1,0,457153.07,120,Vehicle,814589.12,Urban,Y
Ira Mehta,42,Male,Married,3+,Not Graduate,Self-Employed,13.1,47458.8,116887.9,14410.17,156755.19,30.36,634,0,0,895367.09,180,Education,330.79,Urban,N
Ayaan Kumar,35,Male,Married,0,Graduate,Self-Employed,16.4,23792.27,43854.18,9744.63,445207.02,40.96,702,1,0,1592374.33,120,Home,2348.17,Rural,Y
Neha Singh,31,Male,Married,0,Graduate,Salaried,4.7,72156.68,164863.02,23858.51,1353383.92,33.06,557,1,2,675664.34,120,Personal,2694.21,Semiurban,N
Sanjay Iyer,46,Male,Married,0,Not Graduate,Business Owner,2.2,37481.78,148297.98,6604.55,108713.13,17.62,514,1,1,505767.01,12,Education,3936.68,Semiurban,N
Meera Verma,51,Female,Single,0,Graduate,Self-Employed,25.0,88388.86,214509.81,66130.51,720202.54,74.82,542,1,1,10000000.0,480,Home,10796321.65,Semiurban,Y
Reyansh Sharma,63,Female,Married,1,Not Graduate,Business Owner,24.7,88200.29,338654.94,24723.82,416095.38,28.03,533,1,4,1031202.34,120,Personal,3638.02,Semiurban,N
Krishna Mehta,40,Female,Married,0,Not Graduate,Retired,32.6,45128.54,304170.57,1750.88,21365.28,3.88,740,1,1,1288575.64,36,Other,2105495.92,Rural,Y
Priya Reddy,28,Male,Married,1,Graduate,Business Owner,1.3,238352.34,1717133.91,61578.32,3000000.0,25.83,798,0,0,4225492.41,300,Vehicle,6446001.49,Semiurban,N
Ira Agarwal,58,Female,Single,0,Graduate,Salaried,31.4,58162.59,427968.15,21882.41,287197.75,37.62,484,0,1,3691728.65,180,Home,5652215.29,Rural,N
Rahul Rao,49,Male,Married,1,Graduate,Salaried,1.7,62618.2,218733.42,25501.66,745529.96,40.73,554,1,2,165513.21,300,Other,4315.29,Rural,N
Krishna Sharma,52,Female,Married,1,Graduate,Salaried,12.3,128207.72,788080.6,7025.39,256445.24,5.48,550,1,3,10000000.0,24,Home,3839.24,Urban,Y
Vihaan Khanna,25,Female,Single,0,Graduate,Self-Employed,5.0,67656.09,134216.9,27546.68,452256.49,40.72,673,0,0,407053.48,300,Vehicle,395840.44,Semiurban,N
Yash Desai,35,Female,Married,2,Graduate,Business Owner,11.3,91478.12,160957.19,36092.18,1191813.06,39.45,437,0,2,985457.08,360,Vehicle,923392.49,Urban,N
Sai Rao,55,Female,Married,0,Not Graduate,Business Owner,4.0,229551.34,1782873.62,80791.73,1770262.72,35.2,705,0,0,274035.53,24,Medical,1621.3,Urban,Y
Navya Shah,58,Female,Married,1,Graduate,Retired,27.9,32449.14,20974.33,3468.33,132393.43,10.69,664,0,0,431639.21,360,Vehicle,2290.97,Urban,N
Vihaan Reddy,40,Male,Married,0,Graduate,Business Owner,21.1,459657.24,2780477.44,83478.1,1651537.67,18.16,880,1,0,10000000.0,36,Business,11868375.06,Semiurban,Y
Kiara Khanna,57,Male,Married,0,Graduate,Retired,21.1,42015.88,62426.85,16680.23,553479.56,39.7,705,0,2,1724774.49,60,Business,2875531.15,Semiurban,N
Rajesh Sharma,58,Female,Married,0,Graduate,Salaried,21.2,127054.65,788246.51,37407.04,545551.31,29.44,685,0,1,2372588.35,300,Business,4045883.82,Rural,N
Yash Desai,38,Male,Married,3+,Not Graduate,Salaried,11.5,39742.64,222121.1,6622.69,359823.51,16.66,706,0,0,501460.12,36,Education,4016.16,Semiurban,Y
Kiara Tiwari,61,Male,Married,2,Graduate,Self-Employed,4.5,146011.24,817317.03,19299.23,824544.73,13.22,703,0,1,847810.75,120,Education,1475026.37,Urban,N
Pooja Rao,33,Female,Single,0,Graduate,Salaried,4.9,67162.6,310070.39,25409.14,769327.54,37.83,542,1,0,4666705.07,120,Business,2914.2,Semiurban,Y
Sai Verma,31,Male,Married,0,Graduate,Self-Employed,11.5,71955.42,469105.84,21748.56,1112663.34,30.23,721,1,0,1073622.29,300,Vehicle,1091565.24,Semiurban,Y
Suresh Pandey,51,Female,Single,0,Graduate,Salaried,20.2,140810.43,293124.83,41813.46,597299.85,29.69,453,1,2,10000000.0,120,Home,11991905.89,Semiurban,N
Rajesh Singh,49,Male,Married,2,Not Graduate,Salaried,7.6,51390.03,219136.65,12861.47,457566.05,25.03,652,0,0,3133780.86,60,Business,4524154.64,Urban,N
Vivaan Mehta,27,Male,Single,0,Graduate,Salaried,3.8,40937.12,278723.11,12628.81,535194.64,30.85,594,0,0,203557.9,60,Personal,2548.45,Semiurban,N
Ishaan Rao,58,Female,Single,0,Graduate,Salaried,3.4,73485.95,304703.38,10262.7,535582.12,13.97,731,0,0,6110235.85,60,Home,8953935.44,Rural,Y
Karan Kapoor,29,Male,Married,2,Graduate,Business Owner,7.1,216573.34,824399.14,57815.71,2398648.06,26.7,651,1,0,2186172.07,24,Vehicle,3130900.78,Rural,Y
Kavita Saxena,57,Female,Married,0,Graduate,Salaried,5.9,71708.96,502673.7,31370.18,832596.09,43.75,655,1,0,547608.33,480,Personal,1198.4,Semiurban,Y
Aryan Mishra,21,Female,Single,0,Graduate,Salaried,0.1,78063.48,231662.59,23111.57,356119.73,29.61,870,0,0,916767.98,240,Education,609.51,Rural,Y
Shreya Mehta,56,Female,Single,0,Not Graduate,Unemployed,0.0,10000.0,21833.66,1830.46,70448.92,18.3,569,1,0,236905.83,300,Business,407294.75,Urban,N
Suresh Chopra,56,Male,Single,1,Graduate,Self-Employed,23.6,150925.91,366191.76,58023.78,2160923.4,38.45,553,1,4,327915.01,180,Personal,4318.18,Urban,N
Aarav Nair,56,Female,Married,0,Graduate,Business Owner,2.9,177029.94,630750.4,21310.23,1038822.13,12.04,525,0,1,1244929.27,120,Medical,2747.67,Urban,N
Vikram Kumar,50,Male,Married,0,Graduate,Salaried,9.4,117864.31,877551.63,29446.35,1565076.67,24.98,740,1,0,7840187.13,240,Business,6619612.01,Urban,Y
Karan Desai,42,Male,Single,1,Not Graduate,Self-Employed,21.9,29716.57,167459.86,5675.28,85776.56,19.1,741,1,0,444461.9,36,Education,729.46,Urban,Y
Anjali Reddy,52,Male,Married,1,Graduate,Salaried,31.4,104538.63,234815.03,66395.04,2528136.16,63.51,696,1,0,3523751.46,36,Business,3895247.91,Semiurban,Y
Shreya Verma,33,Male,Married,2,Graduate,Business Owner,13.2,140183.27,1067531.54,12776.57,648073.89,9.11,648,0,1,1955673.86,60,Vehicle,2948037.25,Urban,N
Anjali Iyer,56,Male,Married,1,Graduate,Self-Employed,31.6,42502.22,308171.36,30122.77,1597657.05,70.87,780,1,0,825669.37,360,Vehicle,4446.22,Semiurban,N
Sanjay Chopra,46,Male,Married,3+,Not Graduate,Self-Employed,7.3,87360.85,288450.71,36601.79,1977708.08,41.9,725,1,0,1021780.94,60,Medical,400.55,Semiurban,Y
Aryan Joshi,41,Male,Married,1,Graduate,Salaried,10.6,87418.56,627045.9,49669.98,2421420.31,56.82,584,1,0,4259716.82,180,Home,5064670.31,Urban,N
Manish Singh,43,Female,Married,1,Not Graduate,Self-Employed,24.4,67485.39,482736.29,8749.22,360256.82,12.96,580,0,0,1167439.01,24,Education,1628.67,Semiurban,Y
Pooja Verma,46,Male,Married,2,Graduate,Salaried,11.4,56821.1,132872.42,17988.91,401808.34,31.66,680,1,0,923826.7,180,Vehicle,1276078.08,Urban,Y
Arjun Kumar,22,Male,Single,0,Graduate,Salaried,1.2,93003.05,686169.24,4680.31,49040.83,5.03,616,1,0,731681.84,240,Personal,1409.57,Urban,Y
Saanvi Bansal,27,Male,Married,1,Graduate,Self-Employed,7.0,30163.85,206529.82,6368.3,318121.06,21.11,587,0,2,557650.71,120,Education,3218.3,Urban,N
Vikram Kumar,32,Male,Single,0,Not Graduate,Salaried,8.4,99905.12,124581.49,20399.56,1217004.13,20.42,416,0,4,2126972.59,24,Other,3707.52,Urban,N
Priya Joshi,26,Female,Single,0,Graduate,Salaried,1.9,66202.36,55001.53,24289.8,1190677.65,36.69,768,1,0,970471.95,360,Personal,3040.84,Urban,Y
Riya Saxena,40,Female,Married,0,Graduate,Salaried,11.8,146991.3,900964.44,51498.54,2911864.75,35.04,669,1,0,10000000.0,120,Home,13354247.79,Urban,Y
Deepak Chopra,51,Male,Married,1,Not Graduate,Salaried,12.2,47303.96,274126.41,8275.49,391514.86,17.49,616,0,1,2855766.94,300,Home,2619747.01,Urban,N
Priya Sharma,50,Female,Single,0,Not Graduate,Self-Employed,7.5,50733.63,139164.95,18679.24,392067.73,36.82,601,0,1,2305622.57,180,Business,2236865.14,Semiurban,N
Sai Khanna,42,Male,Married,1,Not Graduate,Salaried,21.5,37753.99,221994.63,4589.26,251657.97,12.16,662,0,3,422993.47,120,Vehicle,580861.47,Urban,Y
Sanjay Verma,59,Female,Single,0,Graduate,Self-Employed,18.3,53481.49,228204.95,20297.93,500507.72,37.95,621,1,0,954576.52,120,Vehicle,1186425.05,Urban,Y
Saanvi Patel,46,Male,Single,0,Graduate,Self-Employed,20.1,66428.82,215880.91,23851.76,276599.61,35.91,750,0,0,987675.62,240,Education,1361281.16,Semiurban,Y
Geeta Shah,24,Male,Married,0,Graduate,Salaried,2.8,55961.64,217604.38,38377.68,849830.75,68.58,573,1,0,703226.72,36,Education,2502.53,Semiurban,N
Reyansh Kumar,55,Male,Married,0,Graduate,Salaried,10.4,63229.19,313669.17,22714.85,275339.09,35.92,563,0,0,291053.12,24,Personal,1012.84,Rural,N
Dhruv Agarwal,46,Male,Married,0,Graduate,Salaried,23.4,60231.53,433887.67,9744.8,144617.6,16.18,778,0,0,3903431.71,24,Home,3777036.76,Semiurban,Y
Ira Pandey,49,Female,Married,0,Graduate,Salaried,25.6,169023.48,711653.16,2286.11,135625.4,1.35,714,1,2,3451938.03,60,Vehicle,3784373.5,Urban,Y
Kavita Kumar,46,Male,Single,0,Graduate,Salaried,5.2,127027.03,900417.54,37592.11,995962.12,29.59,671,1,0,9064067.9,24,Home,4684.3,Rural,Y
Myra Kumar,45,Male,Married,0,Graduate,Salaried,2.8,144463.57,475306.69,46079.42,1905735.66,31.9,610,0,2,1308902.39,240,Vehicle,1611521.88,Urban,N
Myra Verma,25,Male,Single,0,Graduate,Business Owner,3.8,86273.91,217522.11,9404.74,519358.19,10.9,873,1,0,1153244.68,36,Other,1055376.22,Rural,Y
Meera Mishra,46,Female,Married,0,Graduate,Salaried,14.4,128315.07,600686.5,34113.86,888776.17,26.59,597,1,1,1530278.44,24,Personal,4614.34,Rural,Y
Amit Rao,56,Female,Single,0,Graduate,Retired,23.8,63949.33,364627.23,20812.02,389272.34,32.54,748,0,0,3935879.97,36,Home,2091.11,Urban,Y
Rajesh Chopra,34,Female,Married,1,Not Graduate,Unemployed,0.0,10000.0,13961.66,497.25,27019.45,4.97,650,0,0,353290.91,120,Business,430656.93,Urban,N
Sai Mishra,48,Female,Married,0,Not Graduate,Business Owner,26.5,152064.82,780808.63,46290.07,1414310.8,30.44,527,0,1,1297367.61,60,Medical,4119.4,Semiurban,N
Deepak Tiwari,22,Female,Single,1,Graduate,Salaried,3.2,99326.1,154373.54,58847.16,1770340.18,59.25,655,0,1,1546232.42,360,Personal,3202.81,Urban,Y
Yash Nair,36,Male,Single,0,Graduate,Retired,26.3,49599.52,94408.6,10213.97,611740.19,20.59,622,0,0,4151385.06,12,Home,7183223.23,Semiurban,Y
Vikram Shah,40,Male,Married,2,Not Graduate,Salaried,18.8,41362.66,285501.65,7012.41,288626.65,16.95,696,1,0,3167389.95,300,Business,2900437.04,Urban,Y
Saanvi Pandey,65,Male,Single,1,Not Graduate,Business Owner,4.1,90931.61,172319.52,19297.69,414356.98,21.22,781,1,1,5573901.2,24,Home,8620179.97,Semiurban,Y
Tara Nair,30,Male,Married,1,Graduate,Salaried,5.0,39737.0,308265.32,21262.79,736820.5,53.51,600,1,0,3547194.16,60,Home,3364361.18,Semiurban,Y
Saanvi Rao,33,Female,Married,1,Not Graduate,Business Owner,3.0,331601.43,634308.22,94623.65,2964692.75,28.54,685,1,0,5859299.4,240,Personal,3695.64,Rural,Y
Rohan Malhotra,39,Male,Married,0,Graduate,Salaried,17.7,152133.36,598116.49,53762.62,2242430.91,35.34,487,0,1,10000000.0,240,Home,13434918.22,Rural,N
Karan Patel,65,Male,Married,0,Graduate,Business Owner,4.7,138667.02,726712.86,55781.88,702224.73,40.23,731,1,0,315004.12,360,Personal,4908.88,Semiurban,Y
Priya Tiwari,59,Female,Single,1,Not Graduate,Salaried,31.1,63432.2,425696.12,27481.84,1119695.67,43.32,515,0,1,627491.13,120,Personal,3168.19,Urban,N
Pooja Nair,22,Male,Single,0,Not Graduate,Salaried,3.9,97151.06,386382.18,64779.11,833200.44,66.68,763,1,0,1408916.13,36,Education,3829.09,Urban,Y
Sai Khanna,31,Male,Single,1,Graduate,Self-Employed,7.6,46670.27,132585.74,5988.74,193163.03,12.83,799,0,0,1882064.72,120,Business,3349036.33,Semiurban,Y
Sai Kapoor,57,Male,Married,0,Graduate,Salaried,25.2,100957.24,140794.63,25163.0,476892.06,24.92,552,0,1,297491.38,36,Personal,504918.69,Urban,N
Dhruv Rao,23,Female,Single,0,Graduate,Salaried,0.3,180468.97,1058590.7,39852.34,1188078.75,22.08,637,0,0,10000000.0,36,Home,15000000.0,Urban,N
Kabir Mehta,59,Male,Single,0,Not Graduate,Retired,22.7,38147.41,81188.8,10145.33,608193.87,26.6,637,0,0,691206.38,120,Vehicle,1040474.7,Semiurban,N
Kiara Bansal,33,Male,Single,1,Not Graduate,Salaried,12.3,86628.38,368757.51,45630.88,2419215.5,52.67,519,1,1,4104272.19,300,Home,4493350.07,Rural,N
Krishna Singh,62,Male,Married,0,Not Graduate,Salaried,30.0,60948.74,131030.45,22692.27,765540.83,37.23,579,1,0,1352436.48,300,Other,2752.58,Rural,Y
Suresh Saxena,34,Female,Married,2,Graduate,Self-Employed,10.2,20404.08,39705.12,8162.96,462249.17,40.01,609,1,0,258207.09,240,Personal,247357.62,Semiurban,Y
Kiara Shah,40,Male,Single,1,Graduate,Salaried,20.4,133466.17,444313.2,41152.93,1161374.54,30.83,816,0,2,1312777.85,480,Vehicle,1291531.07,Semiurban,Y
